rang,type_de_document,reservations,titre,auteur
304,Nouveauté,107.0,GPS,"Rico,  Lucie"
572,,79.0,La fin d'une ère,"Howard,  Elizabeth Jane"
810,DVD tous publics,64.0,The  Duke,
646,Bande dessinée jeunesse,73.0,One Piece : édition originale. 31. Nous sommes là,"Oda,  Eiichir?"
935,DVD nouveautés tous publics,59.0,Jurassic World : le monde d'après,
952,Bande dessinée ado,58.0,Solo leveling. 4,Chugong
978,Bande dessinée jeunesse,56.0,Boruto : Naruto next generations. 1,"Kodachi,  Ukyo"
600,Livre adulte,76.0,La porte du ciel,"Schmitt,  Éric-Emmanuel"
841,Bande dessinée jeunesse,62.0,L'atelier des sorciers. 6. 6,"Shirahama,  Kamome"
545,Bande dessinée jeunesse,81.0,L'exode de Kalandre,"Sobral,  Patrick"
550,Bande dessinée jeunesse,80.0,E-sport,"Dequier,  Bruno"
773,Bande dessinée ado,66.0,Je crois que je t'aime,"Lyfoung,  Patricia"
565,Livre adulte,79.0,Le nouveau,"Higashino,  Keigo"
659,DVD nouveautés tous publics,72.0,Uncharted,
666,Bande dessinée jeunesse,71.0,Demon slayer : Kimetsu no yaiba. 11,"Gotouge,  Koyoharu"
730,DVD nouveautés tous publics,68.0,L'histoire de ma femme,
958,Bande dessinée jeunesse,58.0,Naruto. 60,"Kishimoto,  Masashi"
15,Nouveauté,505.0,S'adapter,"Dupont-Monod,  Clara"
280,Bande dessinée adulte,113.0,Anaïs Nin : sur la mer des mensonges,"Bischoff,  Léonie"
56,Livre adulte,280.0,Feu,"Pourchet,  Maria"
495,Livre adulte,85.0,Crossroads,"Franzen,  Jonathan"
636,Nouveauté,73.0,Début des hostilités,"Shirai,  Kaiu"
31,Bande dessinée jeunesse,353.0,Spy x Family. 1,"End?,  Tatsuya"
410,,93.0,Au commencement était... : une nouvelle histoire de l'humanité,"Graeber,  David"
108,Livre jeunesse,196.0,Mortelle Adèle. 2. L'enfer c'est les autres,Tan
908,DVD nouveautés tous publics,60.0,Ambulance,
181,,147.0,Funky moumoute,Mr Tan
443,Bande dessinée ado,89.0,The promised Neverland. 20,"Shirai,  Kaiu"
788,Nouveauté,65.0,Au vent mauvais : roman,"Adimi,  Kaouther"
912,,60.0,The  Northman,
21,Livre adulte,450.0,Vivre vite,"Giraud,  Brigitte"
212,Nouveauté,133.0,Les ténèbres et la nuit,"Connelly,  Michael"
170,Nouveauté,151.0,Les choses humaines,"Tuil,  Karine"
243,Bande dessinée ado,124.0,Naruto. 8,"Kishimoto,  Masashi"
62,Bande dessinée adulte,259.0,Les strates,"Bagieu,  Pénélope"
268,Livre adulte,116.0,Tout le bleu du ciel,"Da Costa,  Mélissa"
297,Livre adulte,108.0,Enfant de salaud,"Chalandon,  Sorj"
933,DVD nouveautés tous publics,59.0,Les  magnétiques,
360,,100.0,"Et à la fin, ils meurent : la sale vérité sur les contes de fées","Lubie,  Lou"
684,DVD nouveautés tous publics,70.0,Sound of Metal,
285,Livre adulte,112.0,La chronique des Bridgerton. 3 & 4,"Quinn,  Julia"
55,Livre adulte,288.0,Sorcières : la puissance invaincue des femmes,"Chollet,  Mona"
714,Bande dessinée jeunesse,69.0,One Piece. 63. Otohime et Tiger,"Oda,  Eiichiro"
484,Bande dessinée jeunesse,86.0,Blue lock. 2,"Kaneshiro,  Muneyuki"
492,,85.0,Etat des lieux,"Levy,  Deborah"
967,Livre adulte,57.0,Mathematica : une aventure au coeur de nous-mêmes,"Bessis,  David"
222,Livre adulte,129.0,Culottées : des femmes qui ne font que ce qu'elles veulent. 1,"Bagieu,  Pénélope"
736,Bande dessinée jeunesse,67.0,One Piece : édition originale. 51. Les onze supernovae,"Oda,  Eiichir?"
40,Bande dessinée jeunesse,328.0,Spy x Family. 6,"End?,  Tatsuya"
58,DVD tous publics,266.0,Onoda. 10 000 nuits dans la jungle,
202,Bande dessinée jeunesse,134.0,Au pays des contes défaits,Mr Tan
271,Livre adulte,115.0,Sapiens : une brève histoire de l'humanité,"Harari,  Yuval Noah"
167,Nouveauté,153.0,La déraison,"Martin-Lugand,  Agnès"
246,Bande dessinée jeunesse,123.0,Je ne mourrai pas !,"Oda,  Eiichiro"
166,Livre adulte,154.0,Les douleurs fantômes : roman,"Da Costa,  Mélissa"
371,Bande dessinée jeunesse,98.0,Demon slayer : Kimetsu no yaiba. 14,"Gotouge,  Koyoharu"
515,Nouveauté,83.0,Le voyage dans l'Est,"Angot,  Christine"
607,DVD nouveautés tous publics,76.0,Allons enfants,
662,Bande dessinée jeunesse,72.0,Anatole Latuile. 6. Pas de panique !,"Didier,  Anne"
86,,225.0,Premier sang : roman,"Nothomb,  Amélie"
462,Livre adulte,88.0,Les infiltrés : comment les cabinets de conseil ont pris le contrôle de l'Etat,"Aron,  Matthieu"
44,Nouveauté,319.0,Les cahiers d'Esther : histoire de mes 10 ans,"Sattouf,  Riad"
137,Bande dessinée ado,170.0,Naruto. 2,"Kishimoto,  Masashi"
427,Bande dessinée jeunesse,91.0,Demon slayer : Kimetsu no yaiba. 10,"Gotouge,  Koyoharu"
477,Bande dessinée jeunesse,87.0,One Piece : édition originale. 25. L'homme qui valait 100 millions,"Oda,  Eiichir?"
789,Livre adulte,65.0,King Kong Théorie,"Despentes,  Virginie"
596,Nouveauté,76.0,Jujutsu kaisen. 2. Naissance de la matrice,"Akutami,  Gege"
610,Bande dessinée ado,76.0,Naruto. 25,"Kishimoto,  Masashi"
290,Bande dessinée jeunesse,110.0,Les cerisiers d'Hiluluk,"Oda,  Eiichiro"
398,Livre adulte,95.0,La tour,"Bui,  Doan"
867,Bande dessinée adulte,61.0,Les dames de Kimoto,"Bonin,  Cyril"
914,Livre jeunesse,60.0,Rodrick fait sa loi,"Kinney,  Jeff"
68,Nouveauté,250.0,Spy x Family. 7,"End?,  Tatsuya"
81,Livre adulte,235.0,Labyrinthes,"Thilliez,  Franck"
117,Bande dessinée adulte,182.0,47 cordes. Première partie,"Le Boucher,  Timothé"
772,Livre adulte,66.0,Entre ciel et terre,Jón Kalman Stefánsson
934,DVD nouveautés tous publics,59.0,Adieu Monsieur Haffmann,
961,Bande dessinée jeunesse,57.0,chat s'arrange pas,Mr Tan
282,Nouveauté jeunesse,112.0,My hero academia. 1. Izuku Midoriya : les origines,"Horikoshi,  Kohei"
2,Livre adulte,1039.0,Connemara : roman,"Mathieu,  Nicolas"
20,Bande dessinée jeunesse,454.0,Spy x Family. 3,"End?,  Tatsuya"
593,Livre adulte,77.0,La cité des nuages et des oiseaux,"Doerr,  Anthony"
920,Livre adulte,59.0,Ame brisée,"Mizubayashi,  Akira"
49,Bande dessinée adulte,296.0,Le droit du sol : journal d'un vertige,"Davodeau,  Etienne"
599,,76.0,"Dieu : la science, les preuves","Bolloré,  Michel-Yves"
655,Bande dessinée jeunesse,72.0,La chouette classe verte,"Guibert,  Emmanuel"
954,coffret DVD tous publics,58.0,The  Gilded Age. Saison 1,
252,,120.0,Les royaumes de feu. 3. Au coeur de la jungle,"Sutherland,  T.T."
413,Bande dessinée adulte,92.0,Grandeur & décadence,"Strömquist,  Liv"
774,Bande dessinée jeunesse,66.0,One Piece. 69. Sad,"Oda,  Eiichiro"
38,DVD tous publics,332.0,Bac Nord,
151,DVD nouveautés tous publics,161.0,Eiffel,
829,DVD nouveautés tous publics,63.0,The  Chef,
339,Bande dessinée adulte,102.0,De la Syrie à la Turquie,"Toulmé,  Fabien"
265,Bande dessinée jeunesse,118.0,Successeurs,"Oda,  Eiichiro"
442,Nouveauté,89.0,Le bureau des affaires occultes. 1,"Fouassier,  Éric"
735,Bande dessinée jeunesse,68.0,One Piece. 66. Vers le soleil,"Oda,  Eiichiro"
618,Nouveauté,75.0,Le réveil,"Gounelle,  Laurent"
975,Bande dessinée jeunesse,56.0,Premières actions,Dugomier
149,Livre adulte,162.0,A rude épreuve,"Howard,  Elizabeth Jane"
858,,61.0,"Amour, gloire et corvées",Nob
98,Livre adulte,203.0,Monument national,"Deck,  Julia"
237,DVD jeunesse,126.0,Soul,
770,Bande dessinée ado,66.0,Naruto. 23,"Kishimoto,  Masashi ; [traduit et adapté en français par Sébastien Bigini]"
911,DVD nouveautés tous publics,60.0,Azuro,
430,Livre adulte,91.0,La chambre du fils,"Horst,  Jørn Lier"
449,DVD tous publics,89.0,Belfast,
860,,61.0,La maison,"Becker,  Emma"
936,DVD tous publics,59.0,Peaky Blinders. Saison 6,
221,Livre adulte,130.0,Tant que le café est encore chaud : roman,"Kawaguchi,  Toshikazu"
716,Bande dessinée adulte,69.0,C'est toi ma maman ? : un drame comique,"Bechdel,  Alison"
972,Bande dessinée ado,57.0,L'instinct,"Oda,  Eiichiro"
234,DVD nouveautés tous publics,127.0,L'événement,
325,DVD nouveautés tous publics,104.0,De son vivant,
592,Livre adulte,77.0,Un si bel horizon,"Bourdin,  Françoise"
601,Livre adulte,76.0,Près de la mer : roman,"Gurnah,  Abdulrazak"
713,Bande dessinée ado,69.0,Naruto. 24,"Kishimoto,  Masashi"
251,Bande dessinée jeunesse,121.0,Pas de pitié pour les nazebroques !,Tan
846,DVD nouveautés tous publics,62.0,Cruella,
320,Bande dessinée jeunesse,104.0,Main du futur,"Sobral,  Patrick"
347,,101.0,Adieu les cons,
979,Nouveauté jeunesse,56.0,One Piece : édition originale. 87,"Oda,  Eiichir?"
154,DVD tous publics,159.0,Nomadland,
223,Livre adulte,129.0,Le code Rousseau de la route : édition 2022,
616,Bande dessinée adulte,75.0,The promised Neverland. 19,"Shirai,  Kaiu"
802,Bande dessinée jeunesse,64.0,Secrets d'amour,Béka
937,Bande dessinée ado,59.0,Naruto. 46,"Kishimoto,  Masashi"
982,Bande dessinée jeunesse,56.0,World without : la bataille du néant,"Sobral,  Patrick"
532,Bande dessinée jeunesse,82.0,Sang royal,"Sobral,  Patrick"
578,Bande dessinée jeunesse,78.0,The promised Neverland. 17,"Shirai,  Kaiu"
588,Bande dessinée ado,78.0,Fairy Tail. 4,"Mashima,  Hiro"
651,Nouveauté,72.0,L'atelier des sorciers. 4,"Shirahama,  Kamome"
923,Livre adulte,59.0,Le coût de la vie,"Levy,  Deborah"
24,Bande dessinée adulte,408.0,Spy x Family. 5,"End?,  Tatsuya"
486,DVD tous publics,86.0,Goliath,
540,Bande dessinée ado,81.0,Les carnets de l'apothicaire. 5,"Nanao,  Itsuki"
