type_de_document,prets,titre,auteur,nombre_de_localisations,nombre_de_pret_total,nombre_d_exemplaires
Bande dessinée jeunesse,1179,Les petits rats de l'Opéra,"Guibert,  Emmanuel",43,3663,77
Bande dessinée jeunesse,555,Naruto. 59,"Kishimoto,  Masashi",44,2735,53
Bande dessinée jeunesse,668,Coke en stock,Hergé,51,4654,75
Bande dessinée jeunesse,640,Une vie rose bonbon,"Pujol,  Romain",37,1356,40
Bande dessinée jeunesse,992,"Mon coup d'soleil, c'est toi !","Cazenove,  Christophe",46,4370,70
Livre adulte,930,Premier sang : roman,"Nothomb,  Amélie",49,1483,62
Bande dessinée jeunesse,762,Emilie n'aime pas quand sa mère boit trop,"Saint-Mars,  Dominique de",38,4001,59
Bande dessinée jeunesse,572,Hello les amis !,"Tessier,  Grégory",38,1318,41
Bande dessinée jeunesse,571,Fenetre sur cours,Pica,30,3021,41
Bande dessinée jeunesse,558,Premières répressions,Dugomier,46,1950,52
Bande dessinée jeunesse,1105,Le coq sportif,"Guibert,  Emmanuel",48,3445,75
Bande dessinée jeunesse,820,Game over. 7. Only for your eyes,Adam,41,3520,52
Bande dessinée jeunesse,723,Max est dans la lune,"Saint-Mars,  Dominique de",41,4387,69
Bande dessinée jeunesse,754,Les lauriers de César,"Goscinny,  René",50,4376,68
Bande dessinée jeunesse,691,Les schtroumpfs et le livre qui dit tout,"Jost,  Alain",33,4299,51
Bande dessinée jeunesse,1032,La chouette classe verte,"Guibert,  Emmanuel",51,1723,76
Bande dessinée jeunesse,750,Max aime les monstres,"Saint-Mars,  Dominique de",36,3053,57
Bande dessinée jeunesse,593,Max et Koffi sont copains,"Saint-Mars,  Dominique de",38,3267,60
Bande dessinée jeunesse,1108,Record battu !,"Didier,  Anne",41,3621,70
Bande dessinée jeunesse,586,Le fils de l'aigle,"Giacometti,  Xavier",47,1160,48
Bande dessinée jeunesse,986,Personne en vue !,"Didier,  Anne",42,3164,67
Bande dessinée jeunesse,809,Emile et Margot. 9. Même pas peur !,"Didier,  Anne",44,2438,55
Bande dessinée jeunesse,655,Naruto. 19,"Kishimoto,  Masashi",44,3858,59
Bande dessinée jeunesse,1118,Anatole Latuile. 6. Pas de panique !,"Didier,  Anne",47,4380,79
Bande dessinée jeunesse,643,Astérix en Hispanie,"Goscinny,  René",40,3826,55
Bande dessinée jeunesse,572,Graine de champion,"Dequier,  Bruno",45,2295,60
Bande dessinée jeunesse,626,The promised neverland. 7,"Shirai,  Kaiu",53,1885,56
Bande dessinée jeunesse,937,Spy x Family. 1,"End?,  Tatsuya",54,1800,77
Livre adulte,599,Mon mari,"Ventura,  Maud",43,898,47
Bande dessinée jeunesse,571,Secrets et manigances,"Lodwitz,  Sophie",37,1945,38
Bande dessinée jeunesse,989,Les Légendaires. 16. L'éternité ne dure qu'un temps,"Sobral,  Patrick",51,3804,85
Bande dessinée jeunesse,746,J'irai voir Venise,"Lyfoung,  Patricia",49,3915,61
Livre adulte,740,Numéro deux,"Foenkinos,  David",49,948,52
Bande dessinée jeunesse,623,"Couché, sale bête !","Cauvin,  Raoul",49,1348,54
Bande dessinée jeunesse,932,Les pieds dans le plat,Nob,48,1730,59
Bande dessinée jeunesse,1024,Touche pas à mon veau,"Guibert,  Emmanuel",45,2296,71
Livre adulte,686,La décision : roman,"Tuil,  Karine",46,976,48
Bande dessinée jeunesse,604,La dame en rouge. 2,"Lyfoung,  Patricia",42,2179,51
Livre jeunesse,846,Lili veut protéger la nature,"Saint-Mars,  Dominique de",38,4631,80
Bande dessinée jeunesse,770,Kid Paddle. 14. Serial player,Midam,42,3477,53
Bande dessinée jeunesse,720,"Merci, les monstres !","Didier,  Anne",42,3659,53
Bande dessinée jeunesse,715,Paresse,"Ogaki,  Philippe",49,1081,55
Livre adulte,609,Leur domaine,"Nesbo,  Jo",52,752,54
Bande dessinée jeunesse,598,Les secrets de l'univers,"Guibert,  Emmanuel",36,2347,45
Bande dessinée jeunesse,547,Ça sent les vacances !,Zidrou,30,1800,32
Bande dessinée jeunesse,663,Les mythics. 6. Neo,"Sobral,  Patrick",49,2086,58
Bande dessinée jeunesse,658,Naruto. 11,"Kishimoto,  Masashi",45,3440,65
Bande dessinée jeunesse,1116,Un petit âne comme vous et moi,"Guibert,  Emmanuel",47,4348,81
Bande dessinée jeunesse,732,La Belle et le loup. 1,"Lyfoung,  Patricia",47,2327,61
Livre jeunesse,582,Le dinosaure,,30,1794,52
Bande dessinée jeunesse,638,Les mabouls déboulent !,"Cohen,  Jaqueline",28,4126,49
Bande dessinée jeunesse,636,Tintin au Tibet,Hergé,59,4886,75
Bande dessinée jeunesse,886,Max et Lili veulent être gentils,"Saint-Mars,  Dominique de",46,5349,86
Bande dessinée jeunesse,884,Premier service,Nob,46,3620,65
Bande dessinée jeunesse,660,Machine à blagues,"Pujol,  Romain",41,1420,44
Bande dessinée jeunesse,647,La menace Schtroumpf,"Parthoens,  Luc",33,3834,45
Livre adulte,590,Enfant de salaud,"Chalandon,  Sorj",49,921,53
Livre adulte,553,Celle qui brûle,"Hawkins,  Paula",49,708,49
Bande dessinée jeunesse,1114,Main du futur,"Sobral,  Patrick",49,5854,79
Bande dessinée jeunesse,869,Max n'en fait qu'à sa tête,"Saint-Mars,  Dominique de",43,3910,74
Bande dessinée jeunesse,699,"Sous les cahiers, la plage","Coppée,  Thierry",38,3981,56
Bande dessinée jeunesse,698,chat s'arrange pas,Mr Tan,44,2480,50
Bande dessinée jeunesse,929,Les goûts et les couleurs,Nob,49,3930,64
Bande dessinée jeunesse,620,Lulu. 7. Super classe !,"Morel,  Marylise",42,1890,46
Livre jeunesse,714,Le petit déjeuner de la famille Souris,"Iwamura,  Kazuo",45,3582,77
Bande dessinée jeunesse,633,Interdit aux monstres,"Didier,  Anne",40,2366,47
Bande dessinée jeunesse,813,La copine de Lili a une maladie grave,"Saint-Mars,  Dominique de",36,3896,64
Bande dessinée adulte,658,Les cahiers d'Esther. 3. Histoire de mes 12 ans,"Sattouf,  Riad",62,2968,69
Bande dessinée jeunesse,567,Naruto. 35,"Kishimoto,  Masashi",44,3784,56
Bande dessinée jeunesse,995,World without : les éveillés,"Sobral,  Patrick",52,2287,74
Bande dessinée jeunesse,756,Max a la passion du foot,"Saint-Mars,  Dominique de",45,3133,76
Bande dessinée jeunesse,691,Le monde à l'envers,"Didier,  Anne",40,2959,48
Bande dessinée jeunesse,1002,Sang royal,"Sobral,  Patrick",48,3912,78
Bande dessinée jeunesse,979,Max et Lili en ont marre de se dépêcher,"Saint-Mars,  Dominique de",45,4981,82
Bande dessinée jeunesse,571,Il faut éliminer Toxine,"Sfar,  Joann",36,2392,46
Bande dessinée jeunesse,1563,Mortelle Adèle. 2. L'enfer c'est les autres,Tan,51,5181,118
Bande dessinée jeunesse,564,Lionne,"Oda,  Eiichir?",46,1728,56
Bande dessinée jeunesse,711,Le spectre de la Bastille. 2,"Lyfoung,  Patricia",47,2756,57
Bande dessinée jeunesse,1187,Les trois baudets,"Guibert,  Emmanuel",47,3909,79
Bande dessinée jeunesse,977,Le devin,"Goscinny,  René",57,5837,84
Bande dessinée jeunesse,734,Chaperlipopette !,Mr Tan,42,1942,50
Bande dessinée jeunesse,582,"Tchô, monde cruel",Zep,39,3591,62
Bande dessinée jeunesse,702,Objectif lune,Hergé,57,4628,78
Livre jeunesse,671,Un looong voyage,"Kinney,  Jeff",53,3333,68
Livre jeunesse,851,Max va à l'hopital,"Saint-Mars,  Dominique de",43,4110,69
Bande dessinée jeunesse,669,Max n'aime pas perdre,"Saint-Mars,  Dominique de",35,3275,60
Bande dessinée jeunesse,878,Shimy,"Sobral,  Patrick",48,1965,62
Bande dessinée jeunesse,1660,Ça sent la croquette !,Mr Tan,54,6082,122
Bande dessinée jeunesse,662,L'épreuve de farce,"Coppée,  Thierry",41,3178,55
Bande dessinée jeunesse,1205,Et qu'ça saute !,"Didier,  Anne",50,2768,74
Bande dessinée adulte,737,Le jeune acteur,"Sattouf,  Riad",53,1090,55
Bande dessinée ado,712,Titeuf. 14. Bienvenue en adolescence !,Zep,39,2548,57
Bande dessinée jeunesse,608,"Bouillir, tel est le propre du Oden","Oda,  Eiichir?",48,1309,53
Livre adulte,602,Regardez-nous danser,"Slimani,  Leïla",54,887,60
Bande dessinée jeunesse,788,Max trouve que c'est pas juste,"Saint-Mars,  Dominique de",47,4552,81
Bande dessinée jeunesse,617,La Schtroumpfette,"Delporte,  Yvan",38,3543,49
Bande dessinée jeunesse,1112,Max et Lili ont des pouvoirs magiques,"Saint-Mars,  Dominique de",42,6547,96
Livre adulte,1083,L'anomalie,"Le Tellier,  Hervé",54,2098,95
Bande dessinée jeunesse,1074,Copain comme cochon,"Guibert,  Emmanuel",43,3628,71
Bande dessinée jeunesse,642,Carnage total,Midam,37,3566,49
Bande dessinée jeunesse,821,Max veut sauver les animaux,"Saint-Mars,  Dominique de",39,5190,75
Livre adulte,572,Le livre des soeurs : roman,"Nothomb,  Amélie",49,1103,61
Bande dessinée jeunesse,577,One Piece : édition originale. 77. Smile,"Oda,  Eiichir?",48,2707,56
Bande dessinée jeunesse,568,Le schtroumpf financier,"Parthoens,  Luc",27,2248,36
