id_lieu,annee_tournage,type_tournage,nom_tournage,nom_realisateur,nom_producteur,adresse_lieu,ardt_lieu,date_debut,date_fin,coord_x,coord_y,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
2016-1939,2016,Série TV,LES HOMMES DE L'OMBRE,FRED GARSON,MACONDO,AVENUE  DU PRESIDENT WILSON,75016,2016-02-13,2016-02-13,2.29457,48.864614,Feature,"[2.294570000235056, 48.864614000274074]",Point,2.294570000235056,48.86461400027408
2016-1495,2016,Long métrage,MAMAN A TORT,MARC FITOUSSI,AVENUE B,PLACE  D'ITALIE,75013,2016-01-06,2016-01-06,2.355564,48.832294,Feature,"[2.355563999715622, 48.83229399959034]",Point,2.355563999715622,48.83229399959034
2020-1082,2020,Long métrage,STELLA EST AMOUREUSE,Sylvie Verheyde,ATELIER DE PRODUCTION,"rue buot, 75013 paris",75013,2020-12-22,2020-12-22,2.35006557,48.82657867,Feature,"[2.3500655715034946, 48.82657866735516]",Point,2.3500655715034946,48.82657866735516
2016-2623,2016,Long métrage,THE ESCAPE,DOMINIC SAVAGE,HANNA FILMS,BOULEVARD  DE DENAIN,75010,2016-10-19,2016-10-19,2.354527,48.879391,Feature,"[2.354527000351158, 48.87939100020501]",Point,2.354527000351158,48.87939100020501
2019-878,2019,Long métrage,PARENT D'ELEVE,NOEMIE SAGLIO,RECTANGLE PRODUCTIONS,"15 rue jacques hillairet, 75012 paris",75012,2019-07-16,2019-07-16,2.3875304,48.84276693,Feature,"[2.3875303963761287, 48.842766930345334]",Point,2.3875303963761287,48.84276693034533
2019-956,2019,Série TV,FIND ME IN PARIS Saison 3( LENA REVE D'ETOILES),"Matt BLOOM, Robert BURKE, Ronan BURKE",Cottonwood media,"avenue hussein 1er de jordanie, 75116 paris",75116,2019-08-28,2019-08-28,2.28906637,48.86174998,Feature,"[2.2890663653593615, 48.86174997591287]",Point,2.289066365359361,48.86174997591287
2021-1742,2021,Série TV,SOUS CONTROLE,ERWAN LE DUC,EX NIHILO,"place de la fontaine timbaud, 75011 paris",75011,2021-12-07,2021-12-07,2.37134336,48.86616491,Feature,"[2.3713433556709673, 48.866164912398354]",Point,2.3713433556709678,48.866164912398354
2017-549,2017,Série TV,Baron noir,Antoine Chevrollier - Ziad Doueiri,KWAI,"rue victor cousin, 75005 paris",75005,2017-09-28,2017-09-28,2.34269507,48.84826064,Feature,"[2.342695065951318, 48.84826063737199]",Point,2.342695065951318,48.84826063737199
2017-1618,2017,Long métrage,BUDAPEST,Xavier Gens,LABYRINTHE FILMS,"rue la condamine, 75017 paris",75017,2017-07-28,2017-07-29,2.3216459,48.88575674,Feature,"[2.32164589518768, 48.885756737479625]",Point,2.32164589518768,48.885756737479625
2017-595,2017,Série TV,FIND ME IN PARIS 3,MATT BLOOM et RANDALL THORN,COTTONWOOD MEDIA,"quai de la tournelle, 75005 paris",75005,2017-09-29,2017-09-29,2.35259167,48.85069895,Feature,"[2.3525916668048925, 48.85069894734096]",Point,2.3525916668048925,48.85069894734096
