identifiant,commemore,adresse_complete,precision_adresse,empty,xy.lon,xy.lat
530.0,Eleves de ces ecoles morts en déportation parce que nés juifs,62 rue de la Fontaine au roi,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75011.0,2.37431,48.868231
490.0,DESNOS Robert,32 boulevard Richard Lenoir 75011 Paris,,75011.0,2.37127,48.8569
22.0,MEMORIAL,"13, place Vendôme Ministère de la Justice 75001 Paris",,75001.0,2.328739,48.867783
745.0,Missak Et Mélinée MANOUCHIAN,11 rue de Plaisance 75014 Paris,,75014.0,2.319744,48.832474
432.0,Maurice MICHE,Rue de Maubeuge Gare du Nord sortie cour des déportés 75010 Paris,face rue Ambroise- Paré,75010.0,2.352233,48.880841
442.0,Jean ROUSSEAU,"121, rue du Faubourg du Temple 75010 Paris",,75010.0,2.374861,48.871386
1003.0,Eleves de ces ecoles morts en déportation parce que nés juifs,2 rue Charles Hermite 75018 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75018.0,2.369865,48.899917
749.0,MEMORIAL,prison de la sante 75014 Paris,,75014.0,2.341393,48.83264
894.0,MEMORIAL,"18, rue des Batignolles Mairie du xviieme 75017 Paris",,75017.0,2.321898,48.884452
379.0,René ANNEE,"130-132, rue de Magenta 75010 Paris",,75010.0,2.352195,48.880876
1103.0,François BOLTZ,Rue de la Mare 75020 Paris,(sur une grille à  proximité du pont SNCF),75020.0,2.389345,48.871367
365.0,Eleves de ces ecoles morts en déportation parce que nés juifs,Lycée lamartine 121 rue du Faubourg Poissonniere 75009 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75009.0,2.349089,48.878369
271.0,C.N.R.,"41, rue de Bellechasse 75007 Paris",,75007.0,2.321084,48.856307
358.0,René Joseph LIMON,"24, rue d' Aumale 75009 Paris",,75009.0,2.335092,48.878542
895.0,MEMORIAL,"13, rue Lamande Centre polonais 75017 Paris",,75017.0,2.319455,48.886496
366.0,Eleves de ces ecoles morts en déportation parce que nés juifs,16 rue de la Victoire 75009 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75009.0,2.339158,48.87515
321.0,Orville J. CUNNINGHAM,"23, rue Boissy d'Anglas 75008 Paris",,75008.0,2.321981,48.869182
743.0,Raymond LOSSERAND,villa Deshayes 75014 Paris,,75014.0,2.316318,48.827509
450.0,Louis TOUPELIN DE LA DOILIERE,"12, rue Lucien Sampaix 75010 Paris",,75010.0,2.360559,48.871683
113.0,9 place de l'hôtel de ville,,,75004.0,2.355582,48.851745
1085.0,Eleves de ces ecoles morts en déportation parce que nés juifs,rue du général Brunet 75019 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75019.0,2.392259,48.881485
443.0,Marcel ROUX,"7, rue Lucien Sampaix 75010 Paris",,75010.0,2.359855,48.871062
481.0,BURSZTYN,"10, rue Morand 75011 Paris",,75011.0,2.376709,48.868471
525.0,Eleves de ces ecoles morts en déportation parce que nés juifs,rue Vicq d'Azir,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75011.0,,
945.0,Maurice GLEIZE,"17, rue des Cloys 75018 Paris",,75018.0,2.339752,48.892672
254.0,Lucien TERION,"10, rue Mabillon 75006 Paris",,75006.0,2.335176,48.852142
159.0,Colonel FABIEN,"12, rue de l'Abbé de l'Epée 75005 Paris",,75005.0,2.340563,48.843692
257.0,Eleves de ces ecoles morts en déportation parce que nés juifs,7 rue du Jardinet 75006 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75006.0,2.339941,48.852692
1086.0,Eleves de ces ecoles morts en déportation parce que nés juifs,9 boulevard du général Brunet 75019 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75019.0,2.390459,48.880402
713.0,Eleves de ces ecoles morts en déportation parce que nés juifs,16 rue Wurtz 75013 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75013.0,2.344612,48.826924
391.0,Charles DAGUET,"12, place de la République 75010 Paris",,75010.0,2.363824,48.868234
653.0,Georges DUDACH,"5, square Albin Cachot 75013 Paris",,75013.0,2.343516,48.833352
924.0,Emile BRICOUT,"100, boulevard Ney 75018 Paris",,75018.0,2.348892,48.898161
1118.0,André DULAUROY,"5, rue d'Annam 75020 Paris",,75020.0,2.393758,48.866234
202.0,CONSEIL NATIONAL DE LA RESISTANCE,"48, rue du Four 75006 Paris",,75006.0,2.33092,48.85236
640.0,DEPORTATION,"43, quai Panhard et Levassor Camp de travail forcé 75013 Paris",,75013.0,2.383316,48.829366
871.0,Roland SEVEGRAND,"43, boulevard Suchet 75016 Paris",,75016.0,2.264199,48.856282
56.0,Henri CHEVESSIER,Passage des Gravilliers 75003 Paris,,75003.0,2.356849,48.863396
1202.0,Eleves de ces ecoles morts en déportation parce que nés juifs,9/11 rue de Lesseps 75020 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75020.0,2.399708,48.859058
307.0,Henri-jean PILOT,rue Aristide Briand 75007 Paris,,75007.0,2.319234,48.861439
698.0,Eleves de ces ecoles morts en déportation parce que nés juifs,33 place Jeanne d'Arc 75013 Paris,(plaques en plexiglass a l'extérieur et a l'interieur des ecoles),75013.0,2.367398,48.829787
306.0,Raymond PICOT,"27, quai Voltaire 75007 Paris",,75007.0,2.330268,48.859203
647.0,Sur Le Rocher Du Rond Point PLACE NATIONALE,75013 Paris,,75013.0,2.368694,48.831473
