annee_passage,date_passage,adresse,complement_d_adresse,code_postal,protection,voeu,resolution,siecle_de_construction,date_de_construction,designation,architecte,type_de_travaux_1,type_de_travaux_2,intervention,url_document_de_seance,doc_seance,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
1969,1969-01-13,Parvis Notre-Dame,,75004,['Aucune'],Voeu contre l’installation d’un musée archéologique gallo-romain et paléo-chrétien » sous le Parvis Notre-Dame,Vœu,,,Parvis Notre-Dame,,,,,Non disponible,Non disponible,Feature,"[2.348121201278938, 48.853515548512334]",Point,2.348121201278938,48.853515548512334
1969,1969-02-03,46 rue Quincampoix,46-48 rue Quincampoix,75004,['Aucune'],"Voeu relatif au démontage de l’escalier de bois à balustres qui se trouve actuellement au fond du terrain vague fût réutilisé rapidement dans une construction de la Ville., ainsi que tous les autres éléments anciens",Vœu,,,,,Démolition partielle,Circulations intérieures,,Non disponible,Non disponible,Feature,"[2.350551307731165, 48.86101730895084]",Point,2.350551307731165,48.86101730895084
1969,1969-12-01,1 rue d'Ulm,1-3 rue d'Ulm,75005,['Aucune'],Rappel du voeu relatif à la construction du nouvel immeuble en pierre de taille conformément à son environnement et non d’un édifice en fer et verre,Vœu,,,,,Projet,,,Non disponible,Non disponible,Feature,"[2.345812873703161, 48.84532509287174]",Point,2.345812873703161,48.84532509287174
1966,1966-02-07,45 rue de Varenne,,75007,['Plan de sauvegarde et de mise en valeur'],"Voeu contre le projet de surélévation de l’ancien Hôtel de la Duchesse de Narbonne, déjà inscrit à l’Inventaire pour les façades",Vœu,XVIII,,Hôtel de la Duchesse de Narbonne,,Surélévation,,,Non disponible,Non disponible,Feature,"[2.322556963548623, 48.854260416113476]",Point,2.322556963548623,48.854260416113476
1989,1989-02-06,71 rue de la Victoire,,75009,['Aucune'],Voeu que les façades sur rue et sur cour soient entièrement conservées,Vœu,,,,,Façade,,,Non disponible,Non disponible,Feature,"[2.3331651683677475, 48.87520361873617]",Point,2.3331651683677475,48.87520361873617
1979,1979-03-06,22 quai des Célestins,22 quai des Célestins / 2 rue Saint-Paul,75004,['Plan de sauvegarde et de mise en valeur'],,,XX,,ancien entrepôt de la Samaritaine,Georges Bourneuf,,,Jean-Pierre Babelon : signalement des travaux actuellement en cours dans un entrepôt du grand magasin La Samaritaine,Non disponible,Non disponible,Feature,"[2.3608263860889753, 48.8524265343357]",Point,2.3608263860889753,48.8524265343357
1979,1979-04-02,6 rue du Val-de-Grâce,,75005,['Protection Ville de Paris'],,,XVIII,1796,,,,,,Non disponible,Non disponible,Feature,"[2.340460966534349, 48.84105172115795]",Point,2.340460966534349,48.84105172115795
1979,1979-10-08,11 rue des Lyonnais,,75005,['Aucune'],,,XVII,,,,,,,Non disponible,Non disponible,Feature,"[2.346515670259762, 48.83840376754957]",Point,2.346515670259762,48.83840376754957
1985,1985-11-04,108 rue d'Alésia,,75014,['Inscrit Monument historique'],Voeu en faveur de la conservation des panneaux décoratifs qui ornent la façade,Vœu,,,,,Démolition partielle,,,Non disponible,Non disponible,Feature,"[2.3225461410207777, 48.82945252452252]",Point,2.3225461410207777,48.82945252452252
1991,1991-11-04,13 rue Benjamin Franklin,13-15 rue Benjamin Franklin,75016,['Aucune'],Voeu en faveur de la conservation des façades,Vœu,,,,,Façade,,,Non disponible,Non disponible,Feature,"[2.2852149902035706, 48.859669071381354]",Point,2.2852149902035706,48.859669071381354
1991,1991-12-02,100 rue de Charonne,,75011,['Inscrit Monument historique'],"Renouvellement du voeu en faveur des bâtiments (inscrits ISMH) de l'ancien Couvent de la Madeleine de Traisnel . Elle demande qu'une active vigilance de l'ABF soit exercée à cette occasion et que tous les éléments anciens de ces bâtiments soient conservés et restaurés ""in situ""",Vœu,XVII,,,,Démolition partielle,Restauration,,Non disponible,Non disponible,Feature,"[2.3839744523078843, 48.854311959865825]",Point,2.3839744523078843,48.854311959865825
