y_4326,x_4326,index_plaque,ardt,adresse,emplacement,retranscription,materiau,taille,titre,siecle,periode_1,periode_2,objet_1,objet_2,genre,personnalite,pays,date_arret,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
48.85723909,2.35887969,4975,4,21 RUES DES ECOUFFES,1er étage Façade,Ici est né le 7 novembre 1895 Jacob KAPLAN Grand Rabbin de France de 1955 à 1980,pierre,40x30,Jacob Kaplan,19-20,,,les religieux,,YY,Jacob Kaplan,France,,Feature,"[2.3588796856057366, 48.85723909039028]",Point,2.3588796856057366,48.85723909039028
48.844721,2.344073,5033,5,12 RUE PIERRE ET MARIE CURIE,RDC,LOUIS SEIGNER / 1903 - 1991 / Comédien / Doyen de la Comédie Française / A vécu dans cette maison / de 1936 jusqu'à sa mort.,pierre blanche,,Louis Seigner,20,,,les artistes (théâtre et cinéma),,YY,Louis Seigner,France,,Feature,"[2.3440729993316136, 48.844720999373884]",Point,2.3440729993316136,48.844720999373884
48.844142,2.363987,5039,5,PLACE VAHLUBERT,RDC,ICI A ETE TUE / POUR LA LIBERATION / LE 19 AOUT 1944 / LE GARDIEN DE LA PAIX / PERRONY / ET 30 AUTRES FRANÇAIS,plastique,,Emmanuel Perrony,20,Seconde Guerre mondiale,Libération de Paris,les Résistants,les Morts pour la France,YY,Emmanuel Perrony,France,,Feature,"[2.3639869998616194, 48.84414199932819]",Point,2.3639869998616194,48.84414199932819
48.852046,2.347063,5059,5,1 BIS RUE SAINT JULIEN LE PAUVRE,AU-DESSUS,"REPUBLIQUE FRANÇAISE / LIBERTE - EGALITE - FRATERNITE / ADMINISTRATION GENERALE DE L'ASSISTANCE PUBLIQUE A PARIS / EGLISE SAINT-JULIEN-LE-PAUVRE / RECONSTRUITE AU XIIE SIECLE PAR LES SOINS DE L'ABBAYE DE LONGPONT ET ERIGEE EN PRIEURE. / L'EGLISE ET LE PRIEURE FURENT CEDES A L'HOTEL-DIEU ET INCORPORE A SON DOMAINE (AVRIL 1655) /  P. MELIAND ETANT PRIEUR COMMANDATAIRE DE SAINT-JULIEN, LE CARDINAL MAZARIN ADMINISTRATEUR DE L'ABBAYE DE LONGPONT. /CESSION CONFIRMEE PAR BULLE DU PAPE ALEXANDRE VII (8 MARS 1659) ET LETTRES PATENTES DU ROI LOUIS XIV (JUIN 1697) /RESTITUEE A L'HOTEL-DIEU APRES LE REVOLUTION PAR DECRET IMPERIAL DE 1805. CETTE EGLISE A ETE AFFECTEE EN 1892 AU CULTE CATHOLIQUE GREC.",plaque en pierre blanche,,Eglise Saint-Julien-Le-Pauvre,12,,,"lieux, édifices et vestiges",,,,France,,Feature,"[2.347063000215557, 48.85204599885062]",Point,2.347063000215557,48.85204599885062
48.849077,2.334273,6444,6,48 RUE DE VAUGIRARD,"HAUT DES FENÊTRES DU REZ-DE-CHAUSSÉE, À DEUX FENÊTRESÀ GAUCHE DE LA PORTE D'ENTRÉE.",LE COMPOSITEUR J. MASSENET / MEMBRE DE L'INSTITUT / NÉ À MONTAUD S/LOIRE LE 12 MAI 1842 / DECEDE À PARIS DANS CETTE MAISON / LE 13 AOÛT 1912 / [BAS DROITE] 4 ! RUE DE VAUGIRARD,pierre,30x70,Jules Massenet,19-20,,,les artistes (musique et danse),,YY,Jules Massenet,France,,Feature,"[2.3342730001086873, 48.84907699948762]",Point,2.3342730001086873,48.84907699948762
48.84507728,2.35537526,6947,5,9 RUE GUY DE LA BROSSE,haut RDC à gauche de la porte,Paul Elie Gernez artiste peintre né au bourg d'Onnaing près de Valenciennes le 27 janvier 1888 est mort dans cette maison le 6 septembre 1948,comblanchien,30x40,Paul-Élie Gernez,19-20,,,les artistes (beaux-arts),,YY,Paul-Élie Gernez,France,,Feature,"[2.3553752558239367, 48.84507727452046]",Point,2.3553752558239367,48.84507727452046
48.85318,2.32375,6949,6,108 RUE DU BAC,1er étage. A droite de la porte,LAPLACE/MATHÉMATICIEN ET ASTRONOME/NÉ LE 13 MARS 1749/EST MORT/DANS CETTE MAISON/LE 5 MARS 1827,pierre,60x60,Pierre-Simon de Laplace,18-19,,,les médecins et scientifiques,,YY,Pierre-Simon de Laplace,France,,Feature,"[2.3237499999583595, 48.85317999947618]",Point,2.3237499999583595,48.85317999947618
48.854135,2.336532,6956,6,44 RUE DAUPHINE,1er étage,DV RÈGNE DE LOVIS LE GRAND/EN L'ANNÉE MDCLXXIII LA PORTE/DAVPHINE QUI ESTOIT À CET ENDROIT/A ESTÉ DÉMOLIE PAR L'ORDRE DE M.M./LES PRÉVOST DES MARCHANDS ET/ÉCHEVINS ET LA PRÉSENTE ISNCRIPTION/APPOSÉE EN EXÉCCVTION DE L'ARREST/DV CONSEIL DU XXIII SEPTEMBRE AVD AN. POVR MARQVER LE LIEV OV ESTOIT CETTE PORTE ET SERVIR CE OVE DE RAISON,pierre,20x40,,,,,,,,,,,Feature,"[2.3365319995998273, 48.8541349990607]",Point,2.3365319995998273,48.8541349990607
48.8439,2.33867,6972,6,64 BOULEVARD SAINT-MICHEL,sur le pilier d'angle des grilles du Jardin du Luxembourg,Lieutenant Martinet des FFI mort le 25 août 1944 pour la Libération de Paris,marbre,40x50,Jules Martinet,20,Seconde Guerre mondiale,Libération de Paris,les Résistants,les Morts pour la France,YY,Jules Martinet,France,,Feature,"[2.3386700005132095, 48.84389999916223]",Point,2.3386700005132095,48.84389999916223
48.855884,2.31674,7002,7,86 RUE DE VARENNE,RDC,GABRIEL PARES/CHEF de la MUSIQUE de la GARDE REPUBLICAINE/1893 – 1911/A VECU ET EST MORT DANS CETTE MAISON/LE 2 JANVIER 1934,marbre,,Gabriel Parès,19-20,,,les militaires,les artistes (musique et danse),YY,Gabriel Parès,France,,Feature,"[2.316739999599115, 48.85588399892352]",Point,2.316739999599115,48.85588399892352
48.850976,2.323316,7005,7,140 RUE DU BAC,RDC,CHAPELLE/NOTRE DAME/DE LA/MEDAILLE MIRACULEUSE,marbre,,Chapelle Notre-Dame-de-la-Médaille-miraculeuse,19,,,"lieux, édifices et vestiges",,,,France,,Feature,"[2.3233159999397395, 48.85097599940122]",Point,2.3233159999397395,48.85097599940122
48.867028,2.335657,1207,1,45 RUE DES PETITS CHAMPS,1ER ÉTAGE,JEAN-BAPTISTE LULLY / 1632-1687 / SURINTENDANT DE LA MUSIQUE / DU ROI LOUIS XIV / A VÉCU DE 1672 A 1683 / DANS CETTE MAISON / CONSTRUITE PAR L’ARCHITECTE / DANIEL GITTARD,marbre blanc,30x70,"Jean-Baptiste Lully, Daniel Gittard",17,Ancien Régime,,les artistes (musique et danse),,YY,"Jean-Baptiste Lully, Daniel Gittard",France,,Feature,"[2.3356569999361567, 48.86702799871825]",Point,2.3356569999361567,48.86702799871825
48.865523,2.329258,1237,1,6 RUE DU MONT THABOR,RDC MILIEU,ALFRED DE MUSSET / NÉ À PARIS / LE 11 DÉCEMBRE 1810 / EST MORT / DANS CETTE MAISON / LE 2 MAI 1857,marbre,90x90,Alfred de Musset,19,,,les écrivains et intellectuels,,YY,Alfred de Musset,France,,Feature,"[2.329257999429773, 48.86552299949818]",Point,2.329257999429773,48.86552299949818
48.865256,2.331523,1405,1,310-316 RUE SAINT-HONORÉ,1ER ÉTAGE,"DANS CETTE MAISON LE COMPOSITEUR ESPAGNOL JUAN CRISOSTORNO DE ARRIAGA EST DÉCÉDÉ LE 16 J1NVIER 1826 À L'ÂGE DE VONGT ANS. L'AMBASSADE D'ESPAGNE COMMÉMORE LE 150A ANNIVERSAIRE DE SA MORT. PARIS, LE 26 JANVIER 1976",pierre grise,80x40,Juan Crisóstomo de Arriaga,19,,,les artistes (musique et danse),,YY,Juan Crisóstomo de Arriaga,"France, Espagne",,Feature,"[2.3315230000900597, 48.865255998624]",Point,2.3315230000900597,48.865255998624
48.85568,2.36003,4911,4,12 RUE DE RIVOLI,1er étage,Bombardement / du / 12 avril 1918 / Torpilles allemandes / 27 morts - 72 blessés /1924,pierre,60x40,Bombardement du 12 avril 1918,20,Première Guerre mondiale,,évènements et faits historiques,,,,France,,Feature,"[2.360029999824236, 48.855679999309636]",Point,2.360029999824236,48.855679999309636
48.85724,2.36274,3904,3,23 RUE DE SÉVIGNÉ,,HOTEL COMMENCE EN 1544 / PAR PIERRE LESCOT ET JEAN GOUJON / POUR JACQUES DE LIGNERIS PRESIDENT AU PARLEMENT / ACQUIS EN 1572 PAR MADAME DE CARNAVALET / TRANSFORME DE 1655 A 1661 PAR FRANCOIS MANSART / HABITE DE 1677 A 1696 PAR MADAME DE SEVIGNE,pierre,73x139,L'hôtel Carnavalet,16,,,"lieux, édifices et vestiges",,,,France,,Feature,"[2.3627400003209424, 48.85723999946705]",Point,2.3627400003209424,48.85723999946705
48.86344,2.36421,3912,3,6 RUE DE NORMANDIE,façade haut du RDC à gauche de la porte,ICI HABITAIT / RENÉE LÉVY / AGRÉGÉE DE L'UNIVERSITÉ / NÉE LE 25-9-1906 / ARRÊTÉE LE 25-11-1941 DÉPORTÉE / DÉCAPITÉE À LA HACHE À COLOGNE / LE 31-8-1943 / SOUS-LIEUTENANT / CHEVALIER DE LA LÉGION D'HONNEUR / CROIX DE GUERRE / MÉDAILLE DE LA RÉSISTANCE,pierre noire,30x15,Renée Lévy,20,Seconde Guerre mondiale,,les Résistants,,XX,Renée Lévy,France,,Feature,"[2.3642100001143964, 48.86343999933739]",Point,2.3642100001143964,48.86343999933739
48.854683,2.350569,4016,4,1 RUE DE LA COLOMBE,"1M50 DU SOL, SUR UN PAN DE MUR","MAISON DE LA COLOMBE / LA LÉGENDE DU XIIIème SIÈCLE QUI LUI A DONNÉ SON NOM / A ÉTÉ RETROUVÉE PAR L'ÉCRIVAIN JACQUES YONNET. / 1297 OU 1298 : BÂTIE SUR DEUX ÉTAGES. / (ÂGE AUTHENTIFIÉ PAR LA DÉCOUVERTE / D'UN SQUELETTE DE CHAT ENTRE PLAFOND ET PLANCHER). / DÉBUT XVIème : LA MAISON EST SURÉLEVÉE DE TROIS ÉTAGES / PAR LE FRÈRE DE PIERRE LESCOT L'ARCHITECTE DU LOUVRE. / IL INSTALLE AU REZ-DE-CHAUSSÉE LA TAVERNE SAINT-NICOLAS. / 1769 : LOUIS COMBÉDIAS AJOUTE UN ÉTAGE ET UN GRENIER. / 1826 : LES DEMOISELLES CABASSET LOUENT LA TAVERNE / AU CABARETIER MILLEVOIE. IL Y POSE DES GRILLES / ""marchand-de-vin"", DES BOISERIES EXTÉRIEURES AVEC TÊTES / DE Bacchus, INSTALLE À L'INTÉRIEUR L'ÉCLAIRAGE AU GAZ. / 1895 : ALEXANDRE DESMOLIÈRES ACHÈTE LE FONDS / A LA VEUVE MOUCHET. / 1921 : CONSTANT AGNIEZ PROPRIÉTAIRE VEND L'IMMEUBLE / À LA VILLE DE PARIS QUI VEUT LE DÉMOLIR. / 1953 : LUDWIG BEMELMANS PEINTRE ET ÉCRIVAIN AMÉRICAIN / RACHÈTE LE FONDS, LE DÉCORE DE FRESQUES. / 1954 : LE CÈDE, À CAUSE D'UN CHAGRIN D'AMOUR,/ AU JEUNE COUPLE VALETTE QUI Y FONDE / LE CABARET DE LA COLOMBE / GRÂCE À MICHEL VALETTE CE HAUT-LIEU DE LA CHANSON FRANCAISE / VOIT DÉBUTER 200 ARTISTES, DONT / GUY BÉART, ANNE SYLVESTRE, JEAN FERRAT, GEORGES MOUSTAKI... / 1962 : ANDRÉ MALRAUX PAR DÉCRET SAUVE LA MAISON / DE LA DÉMOLITION: ÂGÉE DE PLUS DE 100 ANS / ELLE EST SISE À MOINS DE 100 MÈTRES DES BERGES DE LA SEINE / 1964 : LE CABARET DEVIENT UN RESTAURANT GASTRONOMIQUE. / BELEINE VALETTE EN EST LE CHEF 3* TOURISME JUSQU'EN 1985. / 1990 : UN BISTROT À VINS A REMPLACÉ LE RESTAURANT.",marbre gris clair,55x80,Maison de la Colombe,20,,,"lieux, édifices et vestiges",,YY,Jacques Yonnet,France,,Feature,"[2.3505689994401013, 48.85468299925293]",Point,2.3505689994401013,48.85468299925293
48.850579,2.359645,4414,4,3 RUE SAINT-LOUIS EN L'ILE,BAS 1ER ETAGE,HENRY BAUER/1851-1915/JOURNALISTE ET CRITIQUE/A VÉCU DANS CETTE MAISON/DE 1905 A 1915,granite,85x100,Henry Bauër,19-20,Commune de Paris,,les écrivains et intellectuels,les journalistes,YY,Henry Bauër,France,,Feature,"[2.359645000031893, 48.850578999503014]",Point,2.359645000031893,48.850578999503014
48.851534,2.355347,4433,4,1 RUE BUDE,BAS 1ER ETAGE,LE POETE FELIX ARVERS/est né dans cette maison le 23 JUILLET 1806,bronze,,Félix Arvers,19,,,les écrivains et intellectuels,,YY,Félix Arvers,France,,Feature,"[2.3553470001850076, 48.851533998869726]",Point,2.3553470001850076,48.851533998869726
48.858479,2.353363,4922,4,17 RUE DU TEMPLE,1er étage,1372-1380 / À CETTE PLACE S’ÉLEVAIT / UNE ENTRÉE DE L'HÔTEL / DU CONNÉTABLE / BERTRAND DU GUESCLIN,pierre,30x40,Bertrand du Guesclin,14,Moyen Âge,,les politiques,,YY,Bertrand du Guesclin,France,,Feature,"[2.353363000063911, 48.85847899916289]",Point,2.353363000063911,48.85847899916289
48.852089,2.332069,6222,6,3 RUE MADAME,RDC,Le 30 aout 1869 / est né dans cette maison / CONSTANT - GEORGES GASTÉ / Peintre orientalisme / 1869-1910) / Don de l'association des Amis de Gasté,marbre,25x15,Constant Georges Gasté,19-20,,,les artistes (beaux-arts),,YY,Constant Georges Gasté,France,,Feature,"[2.3320690005145788, 48.85208899914933]",Point,2.3320690005145788,48.85208899914933
48.852692,2.339941,6229,6,7 RUE DU JARDINET,RDC,À LA MÉMOIRE DES ÉLÈVES DE CETTE ÉCOLE / DÉPORTÉS DE 1942 À 1944 PARCE QUE NÉS JUIFS / VICTIMES INNOCENTES DE LA BARBARIE NAZIE / AVEC LA PARTICIPATION ACTIVE / DU GOUVERNEMENT DE CICHY. / ILS FURENT ASSASSINÉS DANS LES CAMPS DE LA MORT. / PLUS 1 DE CES ENFANTS VIVAIENT DANS LE 6e ARRONDISSEMENT. (en bas à gauche) ECOLE ELEMENTAIRE 7 RUE DU JARDINET- PARIS 6e (en bas à droite) NE LES OUBLIONS JAMAIS,granit,70x40,Ecole rue du Jardinet,20,Seconde Guerre mondiale,,les victimes civiles de guerre,,,,France,,Feature,"[2.339940999673889, 48.85269199902076]",Point,2.339940999673889,48.85269199902076
48.852622,2.342047,6231,6,12 RUE DANTON,RDC,ICI EST TOMBE / POUR LA LIBERATION DE PARIS / FERDINAND KRONIS / VICTIME CIVILE / 25 AOUT 1944,marbre,30x25,Ferdinand Kronis,20,Seconde Guerre mondiale,Libération de Paris,les victimes civiles de guerre,,YY,Ferdinand Kronis,France,,Feature,"[2.342047000307465, 48.852621998776996]",Point,2.342047000307465,48.852621998776996
48.856488,2.337052,6243,6,20 RUE MAZARINE,RDC,DANS CETTE MAISON / HABITA EN 1791 / LE DEPUTE GIRONDIN / CHARLES BARBAROUX / 1767 - 1794,pierre,30x30,Charles Jean Marie Barbaroux,18,"Révolution, Consulat et Empire",,les politiques,,YY,Charles Jean Marie Barbaroux,France,,Feature,"[2.3370520002377657, 48.85648799932203]",Point,2.3370520002377657,48.85648799932203
48.8495,2.340066,6254,6,26 RUE MONSIEUR LE PRINCE,PREMIER ETAGE,VICTOR EMILE MICHELET / ECRIVAIN ET POÈTE ÉSOTÉRIQUE / HABITA DEPUIS 1908 / CETTE MAISON / OÙ IL EST MORT / LE 12 JANVIER 1938,marbre,30x40,Victor-Émile Michelet,19-20,,,les écrivains et intellectuels,,YY,Victor-Émile Michelet,France,,Feature,"[2.340066000405705, 48.849499998983326]",Point,2.340066000405705,48.849499998983326
48.849146,2.339836,6257,6,8 RUE DE VAUGIRARD,RDC,KNUT HAMSUN / 1859.1952 / ÉCRIVAIN NORVÉGIEN / PRIX NOBEL DE LITTÉRATURE 1920 / VÉCUT ET TRAVAILLA / DANS CET IMMEUBLE / ENTRE 1893 ET 1895,marbre,25x25,Knut Hamsun,19-20,,,les écrivains et intellectuels,,YY,Knut Hamsun,"France, Norvège",,Feature,"[2.339835999838686, 48.84914599913663]",Point,2.339835999838686,48.84914599913663
48.864201,2.331059,1442,1,198 RUE DE RIVOLI,RDC,JEAN SARMENT AUTEUR DRAMATIQUE COMÉDIEN ET POÈTE NÉ LE 13 JANVIER 1897 A VÉCU DANS CETTE MAISON DE 1940 JUSQU'AU 29 MARS 1976,pierre jaunette,30x30,Jean Sarment,19,,,les artistes (théâtre et cinéma),les écrivains et intellectuels,YY,Jean Sarment,France,,Feature,"[2.331058999391181, 48.86420099880742]",Point,2.331058999391181,48.86420099880742
48.850552,2.344844,5073,5,3 RUE DE CLUNY,RDC,VESTIGE DU CLOITRE / RAPPELANT QU'A CET EMPLACEMENT / S'ELEVAIT AU XIIIE SIECLE / JUSQU'A LA REVOLUTION / LE COUVENT DES TRINITAIRES / APPELES MATHURINS,plaque en pierre blanche/beige,,Couvent des Mathurins,13,,,"lieux, édifices et vestiges",,,,France,,Feature,"[2.3448440003260704, 48.85055199911172]",Point,2.3448440003260704,48.85055199911172
