localisation,type_de_poste,nombre_d_ordinateurs,position.lon,position.lat
Amélie,Poste Adulte et Jeunesse,2,2.3089956,48.8580602
Benjamin Rabier,Poste de passage Adulte,1,2.3724595,48.8873166
Georges Brassens,Poste de passage Adulte,2,2.3268861,48.8350219
Germaine Tillion,Poste Adulte,10,2.2847432,48.8618192
Vandamme,Poste Jeunesse,3,2.3218739,48.8386225
Buffon,Poste de passage Adulte,3,2.3591175,48.8419904
Drouot,Catalogue,1,2.3404653,48.8733839
Glacière - Marina Tsvetaïeva,Catalogue,3,2.3442413,48.8311087
Louise Michel,Poste Adulte et Jeunesse,6,2.4010184,48.8531576
Germaine Tillion,Poste Jeunesse,4,2.2847432,48.8618192
L'Heure Joyeuse,Poste de passage Adulte,1,2.3452233,48.8521289
Mohammed Arkoun,Poste Adulte,9,2.3496874,48.8424926
Louise Walser-Gaillard,Poste de passage Jeunesse,1,2.3323039,48.8811111
Marguerite Audoux,Poste de passage Adulte,2,2.3600893,48.863631
Aimé Césaire,Catalogue,3,2.310555,48.8320357
Charlotte Delbo,Catalogue,2,2.3404242,48.8665015
Claude Lévi-Strauss,Poste animation Adulte,4,2.3724595,48.8873166
François Villon,Poste Jeunesse,4,2.3708098,48.8772091
Place des fêtes,Poste de passage Adulte,1,2.3975049,48.8793551
Buffon,Poste Adulte,9,2.3591175,48.8419904
Italie,Poste Jeunesse,3,2.3569681,48.8308705
Mortier,Catalogue,1,2.408439,48.8715798
André Malraux,Poste Jeunesse,4,2.3275429,48.8478671
Jean-Pierre Melville,Poste Jeunesse,5,2.3663928,48.8268092
Louise Walser-Gaillard,Catalogue,3,2.3323039,48.8811111
Jacqueline de Romilly,Poste animation,6,2.3361773,48.8993441
Robert Sabatier,Poste Adulte,8,2.3441532,48.8905832
Vandamme,Catalogue,4,2.3218739,48.8386225
Jacqueline Dreyfus-Weill,Poste Adulte,2,2.3881083,48.8762706
Mortier,Poste Jeunesse,1,2.408439,48.8715798
Charlotte Delbo,Poste de passage Adulte,1,2.3404242,48.8665015
Amélie,Poste de passage Jeunesse,1,2.3089956,48.8580602
Bibliothèque Forney,Poste chercheur,6,2.3591918,48.8534255
Georges Brassens,Poste Adulte,6,2.3268861,48.8350219
Bibliothèque du Cinéma - François Truffaut,Catalogue,5,2.3436367,48.8623059
Oscar Wilde,Poste de passage Adulte,2,2.3998434,48.8719634
Hergé,Poste de passage Adulte,4,2.3674171,48.8848773
Sorbier,Poste Adulte et Jeunesse,1,2.3928351,48.8659605
Marguerite Yourcenar,Poste Jeunesse,8,2.3036789,48.8367728
L'Heure Joyeuse,Poste de passage Jeunesse,1,2.3452233,48.8521289
Rainer Maria Rilke,Poste Jeunesse,2,2.3383332,48.8392527
Gutenberg,Poste de passage Jeunesse,3,2.278541,48.8402996
Marguerite Duras,Poste Adulte,19,2.4032053,48.859817
Bibliothèque Forney,Catalogue,12,2.3591918,48.8534255
Buffon,Catalogue,5,2.3591175,48.8419904
Crimée,Catalogue,1,2.3830431,48.8848913
François Villon,Poste de passage Adulte,5,2.3708098,48.8772091
Goutte d'or,Poste de passage Adulte,2,2.3541593,48.8841895
Valeyre,Catalogue,2,2.3450099,48.8779745
Maurice Genevoix,Catalogue,1,2.3637139,48.894909
Saint-Eloi,Catalogue,3,2.3871246,48.8455293
Louise Walser-Gaillard,Poste Adulte et Jeunesse,16,2.3323039,48.8811111
Hergé,Catalogue,2,2.3674171,48.8848773
Vandamme,Poste de passage Adulte,2,2.3218739,48.8386225
Sagan - Heure Joyeuse patrimoine,Poste chercheur,2,2.353533,48.875818
Claire Bretécher (ex-Lancry),Poste Jeunesse,1,2.3626033,48.8719649
Marguerite Duras,Poste animation,16,2.4032053,48.859817
Centre de Documentation sur les métiers du Livre,Poste chercheur,2,2.3591175,48.8419904
Couronnes - Naguib Mahfouz,Poste Jeunesse,2,2.3893099,48.8718064
Bibliothèque de l'Ecole Estienne,Poste chercheur,1,2.3524239,48.8307728
Marguerite Duras,Catalogue,8,2.4032053,48.859817
Couronnes - Naguib Mahfouz,Catalogue,2,2.3893099,48.8718064
Saint-Simon,Poste Adulte et Jeunesse,3,2.3200325,48.8568598
Jean-Pierre Melville,Poste Adulte,8,2.3663928,48.8268092
François Villon,Poste Adulte,5,2.3708098,48.8772091
Violette Leduc,Catalogue,2,2.3839448,48.8515962
Violette Leduc,Poste de passage Adulte,4,2.3839448,48.8515962
Batignolles,Catalogue,2,2.3219036,48.8844441
Edmond Rostand,Poste de passage Adulte,4,2.3027261,48.8883086
Saint-Eloi,Poste de passage Jeunesse,1,2.3871246,48.8455293
Jean-Pierre Melville,Catalogue,5,2.3663928,48.8268092
Valeyre,Poste de passage Jeunesse,1,2.3450099,48.8779745
Goutte d'or,Poste Jeunesse,4,2.3541593,48.8841895
Italie,Catalogue,6,2.3569681,48.8308705
Robert Sabatier,Poste de passage Adulte,4,2.3441532,48.8905832
Sorbier,Poste Jeunesse,1,2.3928351,48.8659605
Glacière - Marina Tsvetaïeva,Poste de passage Adulte,1,2.3442413,48.8311087
Marguerite Yourcenar,Poste de passage Adulte,8,2.3036789,48.8367728
Germaine Tillion,Poste de passage Adulte,5,2.2847432,48.8618192
Mohammed Arkoun,Poste de passage Adulte,1,2.3496874,48.8424926
Vandamme,Poste de passage Jeunesse,1,2.3218739,48.8386225
Charlotte Delbo,Poste Adulte,5,2.3404242,48.8665015
Jean-Pierre Melville,Poste de passage Adulte,6,2.3663928,48.8268092
Arthur Rimbaud,Poste Adulte et Jeunesse,4,2.3556453,48.8561772
Louise Michel,Poste de passage Adulte,4,2.4010184,48.8531576
Hélène Berr,Poste de passage Jeunesse,1,2.3974589,48.8425318
Valeyre,Poste de passage Adulte,2,2.3450099,48.8779745
Europe,Poste Adulte,5,2.31749791213,48.8775273073
Hélène Berr,Catalogue,10,2.3974589,48.8425318
Assia Djebar,Poste de passage Adulte,2,2.412011600000028,48.8492765
Goutte d'or,Catalogue,4,2.3541593,48.8841895
Place des fêtes,Catalogue,2,2.3975049,48.8793551
Sorbier,Poste de passage Adulte,1,2.3928351,48.8659605
Valeyre,Poste Adulte,4,2.3450099,48.8779745
Maurice Genevoix,Poste Adulte et Jeunesse,5,2.3637139,48.894909
Vaclav Havel,Poste Jeunesse,4,2.362957,48.8890032
Aimé Césaire,Poste Jeunesse,4,2.310555,48.8320357
Bibliothèque Marguerite Durand,Catalogue,3,2.3663928,48.8268092
Diderot,Poste Jeunesse,2,2.3777229,48.8459745
Claire Bretécher (ex-Lancry),Catalogue,2,2.3626033,48.8719649
L'Heure Joyeuse,Poste animation,1,2.3452233,48.8521289
Glacière - Marina Tsvetaïeva,Poste Adulte,4,2.3442413,48.8311087
Marguerite Yourcenar,Catalogue,12,2.3036789,48.8367728
Françoise Sagan,Catalogue,5,2.353533,48.875818
Batignolles,Poste animation,1,2.3219036,48.8844441
Courcelles,Poste de passage Jeunesse,1,2.3029806,48.8778252
Valeyre,Poste Jeunesse,3,2.3450099,48.8779745
Parmentier,Poste de passage Adulte,4,2.3794671,48.8591443
Gutenberg,Catalogue,2,2.278541,48.8402996
Sorbier,Poste de passage Jeunesse,1,2.3928351,48.8659605
Andrée Chedid,Poste Jeunesse,3,2.2864279,48.849937
Andrée Chedid,Poste Adulte,15,2.2864279,48.849937
Edmond Rostand,Catalogue,5,2.3027261,48.8883086
Europe,Poste de passage Adulte,1,2.31749791213,48.8775273073
Jacqueline de Romilly,Poste Jeunesse,3,2.3361773,48.8993441
Saint-Eloi,Poste Adulte,7,2.3871246,48.8455293
Canopée,Catalogue,2,2.346907,48.862069
Hélène Berr,Poste Adulte,13,2.3974589,48.8425318
Claire Bretécher (ex-Lancry),Poste de passage Adulte,1,2.3626033,48.8719649
Oscar Wilde,Poste de passage Jeunesse,1,2.3998434,48.8719634
Saint-Simon,Catalogue,2,2.3200325,48.8568598
Bibliothèque de l'hôtel de Ville,Poste chercheur,9,2.3531895,48.8558463
L'Heure Joyeuse,Poste Adulte,4,2.3452233,48.8521289
Saint-Simon,Poste Adulte,4,2.3200325,48.8568598
Batignolles,Poste de passage Adulte,1,2.3219036,48.8844441
Diderot,Catalogue,2,2.3777229,48.8459745
Bibliothèque historique de la Ville de Paris,Poste chercheur,9,2.3617132,48.8571172
Crimée,Poste de passage Adulte,1,2.3830431,48.8848913
Assia Djebar,Catalogue,1,2.412011600000028,48.8492765
Vaclav Havel,Poste animation,1,2.362957,48.8890032
Jacqueline de Romilly,Poste de passage Adulte,4,2.3361773,48.8993441
Italie,Poste Adulte,6,2.3569681,48.8308705
Jacqueline Dreyfus-Weill,Catalogue,2,2.3881083,48.8762706
Georges Brassens,Poste Jeunesse,3,2.3268861,48.8350219
Canopée,Poste Jeunesse,2,2.346907,48.862069
Violette Leduc,Poste Adulte,7,2.3839448,48.8515962
Marguerite Audoux,Catalogue,4,2.3600893,48.863631
Amélie,Poste Adulte,3,2.3089956,48.8580602
Oscar Wilde,Poste Adulte,2,2.3998434,48.8719634
Bibliothèque du Cinéma - François Truffaut,Poste chercheur,6,2.3436367,48.8623059
Benjamin Rabier,Poste animation,2,2.3724595,48.8873166
Assia Djebar,Poste Adulte,10,2.412011600000028,48.8492765
Assia Djebar,Poste Jeunesse,4,2.412011600000028,48.8492765
Bibliothèque du Tourisme et des Voyages,Poste chercheur,2,2.2847432,48.8618192
Claude Lévi-Strauss,Poste Adulte,6,2.3724595,48.8873166
Vaclav Havel,Poste Adulte,14,2.362957,48.8890032
Médiathèque Musicale de Paris,Poste de passage Adulte,1,2.34573014115,48.86306045
Saint-Simon,Poste Jeunesse,1,2.3200325,48.8568598
Sagan - Heure Joyeuse patrimoine,Catalogue,1,2.353533,48.875818
Arthur Rimbaud,Poste de passage Adulte,3,2.3556453,48.8561772
Françoise Sagan,Poste animation,8,2.353533,48.875818
Andrée Chedid,Poste de passage Adulte,4,2.2864279,48.849937
Courcelles,Catalogue,1,2.3029806,48.8778252
Vaclav Havel,Poste Adulte et Jeunesse,5,2.362957,48.8890032
Jean-Pierre Melville,Poste animation,4,2.3663928,48.8268092
Jacqueline de Romilly,Catalogue,2,2.3361773,48.8993441
Bibliothèque de l'Ecole du Breuil,Catalogue,1,2.4572662,48.8235741
Saint-Simon,Poste de passage Adulte,1,2.3200325,48.8568598
Marguerite Audoux,Poste Adulte,9,2.3600893,48.863631
BILIPO,Catalogue,1,2.3513354,48.8465258
Crimée,Poste Jeunesse,4,2.3830431,48.8848913
Mohammed Arkoun,Catalogue,7,2.3496874,48.8424926
Amélie,Catalogue,2,2.3089956,48.8580602
Colette Vivier,Catalogue,1,2.3197217,48.8897366
Parmentier,Catalogue,6,2.3794671,48.8591443
Musset,Catalogue,1,2.2657172,48.8415767
Place des fêtes,Poste Adulte,3,2.3975049,48.8793551
Amélie,Poste de passage Adulte,2,2.3089956,48.8580602
Marguerite Audoux,Poste Jeunesse,1,2.3600893,48.863631
Robert Sabatier,Catalogue,7,2.3441532,48.8905832
Edmond Rostand,Poste Adulte,10,2.3027261,48.8883086
Jacqueline de Romilly,Poste Adulte et Jeunesse,2,2.3361773,48.8993441
André Malraux,Poste Adulte,13,2.3275429,48.8478671
Bibliothèque de la Maison Paris Nature,Catalogue,1,2.450027699999964,48.830384
Buffon,Poste Jeunesse,3,2.3591175,48.8419904
Archives de Paris,Catalogue,4,2.4057527,48.8779551
Bibliothèque de la Maison de Balzac,Poste chercheur,1,2.2807446,48.8551734
Vaclav Havel,Poste de passage Adulte,2,2.362957,48.8890032
Andrée Chedid,Poste de passage Jeunesse,2,2.2864279,48.849937
Louise Walser-Gaillard,Poste de passage Adulte,2,2.3323039,48.8811111
Hergé,Poste Adulte,5,2.3674171,48.8848773
Colette Vivier,Poste Adulte et Jeunesse,6,2.3197217,48.8897366
Sorbier,Poste Adulte,2,2.3928351,48.8659605
Bibliothèque du Tourisme et des Voyages,Catalogue,1,2.2847432,48.8618192
L'Heure Joyeuse,Catalogue,1,2.3452233,48.8521289
Oscar Wilde,Catalogue,2,2.3998434,48.8719634
Médiathèque Musicale de Paris,Catalogue,6,2.34573014115,48.86306045
Benjamin Rabier,Catalogue,1,2.3724595,48.8873166
Bibliothèque de l'hôtel de Ville,Catalogue,5,2.3531895,48.8558463
