bibliotheque,nbre_de_documents,nbre_d_images_en_ligne,78_t,affiche,article,autre_image,autre_objet,autre_publication_en_serie,autres_videos,carte_postale,cartes_et_plans,catalogue_commercial,catalogue_de_salon,catalogue_d_exposition,dessin,dossier_documentaire,element,estampe,image_gravure_estampe,imagerie_commerciale,livre,livre_pour_la_jeunesse,manuscrit,medaille,numero_de_periodique,numero_de_quotidien,papier_peint,partition,photographie,quotidien,recueil_iconographique,ressource_electronique,revue,sculpture,tableau,textile_et_tissu,vetement_et_accessoire,position_geographique.lon,position_geographique.lat
Bibliothèque Historique de la ville de Paris,131144,261499,0,1641,1,1008,17,2572,1111,70468,10937,0,0,4341,16154,5617,0,15720,112,0,12936,0,185,0,3926,0,0,0,81636,22,32547,0,548,0,0,0,0,2.3617132,48.8571172
Bibliothèque des litératures policières,2608,35093,0,0,0,0,0,3,0,0,0,0,0,0,96,0,0,0,0,0,3989,0,0,0,28392,141,0,239,0,0,0,0,2233,0,0,0,0,2.3510820865631104,48.84621810913086
Bibliothèque du tourisme et des voyages,3530,111063,0,0,0,0,0,0,0,0,1298,0,0,0,0,0,0,0,0,0,69076,0,0,0,38070,112,0,0,0,0,0,0,2507,0,0,0,0,2.2847158908843994,48.86179733276367
Fonds patrimonial de l'Heure Joyeuse,248,11606,0,1,0,2,0,0,0,0,0,0,0,0,117,0,96,2,0,0,9380,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3537566,48.8756374
Bibliothèque Marguerite Durand,6353,69837,0,490,202,75,60,0,0,1868,0,0,0,0,34,10522,91,3,12,0,24688,0,4468,17,11861,1776,0,0,846,11301,0,0,1501,22,0,0,0,2.3663928,48.8268092
Médiathèque municipal de Paris,13961,92273,15312,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,4518,0,0,72327,0,0,0,0,80,0,0,0,0,2.3457545,48.8626247
Bibliothèque Forney,33657,403434,0,7099,0,1729,705,5,0,3260,2,110606,4571,36331,2403,20,184,1065,171,1362,15816,0,575,0,190583,40,2528,0,6782,0,1960,0,14498,0,246,889,4,2.3591918,48.8534255
Bibliothèque des Conservatoires,2757,68327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5974,0,59660,0,0,0,0,0,0,0,2693,0,0,0,0,2.346062660217285,48.86326217651367
Maison de Balzac,10,4352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,0,0,0,0,0,0,0,0,0,0,0,1472,0,0,0,0,2.2808818,48.8552004
Bibliothèque de l'Hôtel de Ville,19050,121404,0,6,0,204,0,211,0,1628,670,0,0,0,6049,387,0,82,0,0,5269,0,2637,261,73094,0,0,0,24503,0,215,266,5922,0,0,0,0,2.3532017,48.8567195
