ndeg_de_notice,isbn,issn,ean,langue,titre,edition,editeur,date,format,collection,titre_de_serie,ndeg,auteur_nom,auteur_prenom,auteur_dates,libelle_v_smart_et_webopac,nombre_de_localisations,nombre_de_pret_total,nombre_de_prets_2017,nombre_d_exemplaires,categorie_statistique_1,categorie_statistique_2,aime_cesaire,amelie,andre_malraux,andree_chedid,arthur_rimbaud,assia_djebar,batignolles,benjamin_rabier,buffon,canopee_la_fontaine,chaptal,charlotte_delbo,claude_levi_strauss,colette_vivier,courcelles,couronnes_naguib_mahfouz,crimee,diderot,drouot,edmond_rostand,europe,faidherbe,fessart,francois_villon,francoise_sagan,georges_brassens,germaine_tillion,glaciere,goutte_d_or,gutenberg,helene_berr,herge,heure_joyeuse,italie,jacqueline_de_romilly,jean_pierre_melville,lancry,louise_michel,marguerite_audoux,marguerite_duras,marguerite_yourcenar,maurice_genevoix,mmp,mohammed_arkoun,mortier,musset,oscar_wilde,parmentier,place_des_fetes,rainer_maria_rilke,reserve_centrale,robert_sabatier,saint_eloi,saint_simon,sorbier,vaclav_havel,valeyre,vandamme,vaugirard,auteur,co_auteur,auteur_secondaire,collectivite_auteur,collectivite_auteur_secondaire_,collectivite_co_auteur_
876582,,,5099923768123,sans,"0Concertos | Enregistrement sonore | Rodrigo, comp. | Moreno, guit. | Ara, vl... [et al.] | Enrique Bátiz, dir.",,"['EMI records', '[distrib. EMI music France]']",P 2009,"2 disques compacts (1 h 17 min 23 s, 1 h 19 min 06 s) | DDD | 1 brochure",,,,Rodrigo,Joaquin,1901-1999,Disque compact,1,26.0,5,1,['M310 Musique classique: 20eme et 21eme siecles'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Rodrigo, Joaquin']",,"Moreno;León Ara;Bátiz, Alfonso;Agustín;Enrique",,,
338387,2-7234-5166-6,,9782723451666,français,Shangaïé | Texte imprimé | Vincent,,['Glénat'],impr. 2006,"1 vol. (48 p.) | ill. en coul., couv. ill. en coul. | 32 cm",19 | Albatros | 1;Grafica,Albatros,1,Vincent,,1974-....,Bande dessinée pour adulte,5,314.0,16,5,['LBDE Bandes dessinees'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,['Vincent'],,,,,
876935,,,3279792862036,sans,"0L'oeuvre d'orgue | Volume 2 | Les pièces en style libre, les 2 messes, le tryptique | Enregistrement sonore | Louis Vierne, comp. | Pierre Labric, org.",,['Disques du Solstice'],[DL 2013],"3 disques compacts (52 min 21 s, 1 h 07 min 20 s, 1 h 08 min 50 s) | 1 brochure",,,,Vierne,Louis,1870-1937,Disque compact,2,11.0,2,2,['M310 Musique classique: 20eme et 21eme siecles'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,"['Vierne, Louis']",,"Labric, Pierre",,,
39223,2-253-18001-7,,,français,"L'île des esclaves | Texte imprimé | comédie en un acte | 1725 | Marivaux | préf., notes et comment. par Jean Goulemot",,['Librairie générale française'],1999,"90 p. | ill., couv. ill. en coul. | 18 cm",Théâtre de poche,,,Marivaux,Pierre de,1688-1763,Livre pour adulte,4,54.0,10,4,['LFRA Litterature francaise'],['LTHM Theatre avant 1945'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1,,,,,,,,,,,,1.0,,,"['Marivaux, Pierre de']",,"Goulemot, Jean",,,
393970,,,,,Bärenreiter Piano Album | Musique imprimée | Baroque | édité par Adél Erényi,,['Bärenreiter'],2003,1 partition (47 p.) | 30 cm,,,,,,,Partition,2,129.0,5,3,['155'],['pas de code stat 2'],,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,"Erenyi, Adel",,,,
877877,,,3259130172546,français,Berceuses autour du monde | Enregistrement sonore,,['Editions Eponymes'],2005,1 disque compact | 1 brochure,,,,,,,Enregistrement musical pour la jeunesse,2,23.0,5,3,['MJCR Phonos enfants\xa0: chansons et ronds'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878546,978-3-7957-5829-5,,9783795758295,anglais,Swing standards  | Multimédia multisupport | 18 famous swing standards = 18 bekannte Melodien | Piano | arranged by = arrangiert von Carsten Gerlitz,,['Schott'],cop. 2007,1 partition (71 p.) | couv. ill. en coul. | 31 cm;\1 disque compact,Schott piano lounge,,,,,,Partition,1,28.0,1,1,['M104 Jazz classique'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gerlitz, Carsten",,,
394250,2-07-029167-7,,,espagnol,Une soirée en Provence ou le mot et le cri | Texte imprimé | pièces radiophoniques et livrets d'opéras de chambre | Jean Tardieu,,['Gallimard'],1987,270 p. | 21 cm,19 | Théâtre / Jean Tardieu | 3,Théâtre / Jean Tardieu,3,Tardieu,Jean,1903-1995,Livre pour adulte,2,86.0,2,2,['LFRA Litterature francaise'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,"['Tardieu, Jean']",,,,,
39589,,,,anglais,"Cry like a rainstorm, howl like the wind | Enregistrement sonore | L. Ronstadt",,['Elektra'],1989,1 cassette ou 1 compact | DDD | 1 feuillet,,,,,,,Disque compact,1,20.0,1,1,['M912 Musiques du monde: Amerique du Nord'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,"Ronstadt, Linda",,,
879525,,,,français,"Fais pas ci, fais pas ça | Saison 1 | DVD 1 | images animées | Pascal Chaumeil, Ivan Radkine, Alexandre Pidoux... [et al.], réal. | Anne Giafferi, Thierry Bizot, idée orig. | Jean-André Yerles, Claire Lemaréchal, Anne Giafferi... [et al.], scénario | Philippe Kelly, comp. | Isabelle Gélinas, Bruno Salomone, Valérie Bonneton... [et al.], act.",,['Francetélévisions distribution [éd.]'],2007,"1 DVD vidéo mono face zone 2 (4 x 42 min) | 16/9 compatible 4/3, coul. (PAL), son. (Dolby digital stéréo)",,,,,,,DVD-vidéo tous publics,1,35.0,7,1,['CFRA Cinema francais'],['CSTV Serie televisee'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,"Giafferi;Bizot;Kelly;Gelinas;Salomone;Bonneton, Anne;Thierry;Philippe;Isabelle;Bruno;Valérie",,,
397837,,,,anglais,Fairy tale | Enregistrement sonore | Donovan,,['P1991'],1991,1 compact | 1 feuillet,,,,,,,Disque compact,2,32.0,1,2,"['M203 Folk rock, country rock, blues rock']",['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,"Donovan;Philips, Shawn",,,
880148,,,8430526510578;08430526510578,espagnol,"Esencial flamenco | enregistrement sonore | Manuel Vallejo, Nino de Gloria (El), Nino de la Huerta (El)... [et al.] | vol.7",,['Ok Records'],2008,1 disque compact | DDD | 1 brochure,,,,,,,Disque compact,1,10.0,0,1,['M908 Musiques du monde: peninsule iberique'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
398389,978-2-7096-2872-3,,9782709628723,français,Jour fatal | Texte imprimé | roman | Dean Koontz | traduit de l'anglais (États-Unis) par Dominique Defert,,['J.-C. Lattès'],impr. 2008,1 vol. (425 p.) | couv. ill. en coul. | 23 cm,,,,Koontz,Dean Ray,1945-....,Livre pour adulte,14,529.0,18,14,['LNAM Litterature nord-americaine'],['pas de code stat 2'],,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,,"['Koontz, Dean Ray']",,"Defert, Dominique",,,
884744,978-2-7021-4371-1,,9782702143711,français,La Seconde guerre mondiale | Texte imprimé | Antony Beevor | traduit de l'anglais par Raymond Clarinard,,['Calmann-Lévy'],impr. 2012,"1 vol. (1004 p.-[32] p. de pl.) | ill., cartes, couv. ill. | 24 cm",,,,Beevor,Antony,1946-....,Livre pour adulte,27,453.0,26,27,['D904 Histoire occidentale (Europe et Amerique du Nord)'],['pas de code stat 2'],,,,1.0,,,,,1.0,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,"['Beevor, Antony']",,"Clarinard, Raymond",,,
400956,,,,,"Cachaito | Enregistrement sonore | O. ""Cachaito"" Lopez",,['World Circuit'],2001,1 compact | 1 brochure,,,,,,,Disque compact,1,63.0,0,1,['M915 Musiques du monde: Antilles hispanophones et francophones'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cachaito,,,
