903,identifiant,lien_permament_portail,isbn,ean,langue_du_document,langue_du_texte_intermediaire,langue_de_l_oeuvre_originale,date_de_publication,langue_des_sous_titres,titre,type_de_document,titre_d_un_auteur_different,titre_parallele,complement_du_titre,premiere_mention_de_responsabilite,mention_de_responsabilite_suivante,numero_de_partie,titre_de_partie,lieu_de_publication,nom_de_l_editeur,indication_specifique_du_type_de_document,autres_caracteristiques_materielles,format,materiel_d_accompagnement,collection,est_publie_avec,est_une_traduction_de,niveau_de_l_ensemble,unite_materielle,partie_composante,dates_auteur,dates_co_auteur,dates_auteur_secondaire,auteur_collectivite_element_d_entree,auteur_collectivite_subdivision,auteur_collectivite_date,co_auteur_collectivite_element_d_entree,co_auteur_collectivite_subdivision,co_auteur_collectivite_date,auteur_secondaire_collectivite_element_d_entree,auteur_secondaire_collectivite_subdivision,auteur_secondaire_collectivite_date,localisation,sous_localisation,nombre_d_objets,code_barre,cote,tomaison,categorie_documentaire,collection0,fonds,note,conservation,etat_physique,etat_de_collection,auteur_complet,co_auteur,auteur_secondaire
2155011,RBSVDP0002155011,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0002155011,978-2-08-140472-4,9782081404724,['fre'],,,DL 2017,,La France qui gronde,['[Texte imprimé]'],,,"politique, sécurité, éducation, religions, salaires, immigration...",Jean-Marie Godard et Antoine Dreyfus,,,,[Paris],['Flammarion'],1 vol. (379 p.),cartes,24 cm,,Flammarion EnQuête,,,,,,1969?-...,1965-...,,,,,,,,,,,BAVP,M512,1.0,,310305,,LI,,,,,,,"['Godard, Jean-Marie']","['Dreyfus, Antoine']",
2101658,RBSVDP0002101658,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0002101658,2-11-070407-1,,['fre'],,,1982,,Frais de déplacement et indemnités de mutation des personnels civils de l'État,['[Texte imprimé]'],,,[décrets et arrêtés d'application],,,,,Paris,['Journaux officiels'],1 vol. ( VII-166 p.),,21 cm,,Journal officiel de la République française,,,,,,,,,France,,,,,,,,,ADP,MAB2,1.0,,31Db 19,,LI,,,,,,,,,
1114985,RBSVDP0001114985,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001114985,2-87785-508-2,,['fre'],,,1998,,La France de Louis 15 et Louis 16,['[Texte imprimé]'],,,,Adapt. de Karine Delobbe,,,,Mouans-Sartoux (06370),['PEMF'],36 p.,"ill. en noir et en coul., carte",26 cm,,Préhistoire et histoire de la France,,,,,,,,,,,,,,,,,,HJH,MAPL,1.0,32272048131301,FDS NOST 944.03 FRA,,LI,,,don hjj 01 2010,,,,,,"['Delobbe, Karine']"
1915921,RBSVDP0001915921,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001915921,,,['eng'],,,[date de publication inconnue],,"Four trios for piano, violin and cello",['[Musique imprimée]'],,,,Ludwig van Beethoven,,,,New York,['E.F. Kalmus'],1 partition (paginée 121-224 p.),,18 cm,,Kalmus study scores,,,,,,1770-1827,,,,,,,,,,,,BCVP,EPC,1.0,32272117075652,PA 3 BEE 13.11.40,,PA,,,Prêt réservé aux conservatoires de la ville de Paris,,,,"['Beethoven, Ludwig van']",,
1905702,RBSVDP0001905702,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001905702,0-7935-3534-4,,['eng'],,,1994,,Four songs of solitude,['[Musique imprimée]'],,,for solo violin,John Harbison,,,,Milwaukee,"['H. Leonard', 'Associated Music Publishers']",1 partition (12 p.),,33 cm,,,,,,,,1938-...,,,,,,,,,,,,BCVP,EPC,1.0,32272117069127,4 HAR 11.41,,PA,,,Prêt réservé aux conservatoires de la ville de Paris,,,,"['Harbison, John']",,
1961563,RBSVDP0001961563,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001961563,,,['eng'],,,cop. 1937,,Four short pieces,['[Musique imprimée]'],,,clarinet and piano,Howard Ferguson,,,,London ; New York ; Bonn,['Boosey & Hawkes'],1 partition (11 p.),,31 cm,1 partie,,,,,,,1908-1999,,,,,,,,,,,,BCVP,EPC,1.0,32272119677109,4 FER 12.73.11,,PA,,,Prêt réservé aux conservatoires de la ville de Paris,,,,"['Ferguson, Howard']",,
1612902,RBSVDP0001612902,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001612902,978-2-84050-741-3,9782840507413,['fre'],,,DL 2011,,Forteresses du Proche-Orient,['[Texte imprimé]'],,,l'architecture militaire des Ayyoubides,Cyril Yovitchitch,[préface de Jean-Pierre Van Staëvel],,,Paris,['PUPS'],1 vol. (368 p.),"ill. en noir et en coul., carte, plans, couv. ill. en coul.",29 cm,,Islam,,,,,,1968-...,,,,,,,,,,,,FOR,MAGI,1.0,32272102648125,NS 75368,,LI,COIM,,,,,,"['Yovitchitch, Cyril']",,"['Van Staëvel, Jean-Pierre']"
1851813,RBSVDP0001851813,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001851813,978-2-84398-313-9,,['fre'],,,DL 2008,,La forêt primordiale,['[Texte imprimé]'],,,,Bernard Boisson,,,,Rennes,['Apogée'],1 vol. (191 p.),"nombreuses ill. en coul., couv. et jaquette ill. en coul.",29 cm,,,,,,,,1961-...,,,,,,,,,,,,DVBR,LEC,1.0,32262000566370,K 1 BOI,,LI,,,,,,,"['Boisson, Bernard']",,
2118309,RBSVDP0002118309,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0002118309,,,['fre'],,,1948,,Forêt de Compiègne,['[Document cartographique]'],,,,dressée et dessinée par l'Institut Géographique National,,,,Compiègne,"['Service forestier de Compiègne', ""Syndicat d'initiative de Compiègne""]",1 carte,couv. ill.,"72? 99 cm, pliée 25?13 cm",,,,,,,,,,,Institut géographique national,,,,,,,,,BTV,MABU,1.0,32272124087542,CA 390,,PL,,TCF,,,FB,,,,
1824181,RBSVDP0001824181,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001824181,,,['fre'],,,1903,,Fontainebleau (Seine-et-Marne). Cour ovale [Vue prise sous la colonnade de la façade nord vers l'ouest],['[Image fixe]'],,,[photographie],Atget,,,,,,2 photographies positives sur papier albuminé montées sur carton,,"22,6 x 17,3 cm (épr.), 30 x 24 cm (sup.)",,,,,,,,1857-1927,,,,,,,,,,,,BHVP ; BHVP,MAB1 ; MAB1,,32272900844136,4-EPT-82-1043 ; 4-EPT-82-0250,,PH ; PH,,,,,,,"['Atget, Eugène']",,
