arrdt,plaques,archeo,heritage_total,richesse_historique,activity_events,activity_norm
1.0,0.0,135,135.0,0.19359756097560976,246,0.8795180722891566
2.0,0.0,25,25.0,0.025914634146341462,27,0.0
3.0,0.0,73,73.0,0.09908536585365854,91,0.2570281124497992
4.0,0.0,260,260.0,0.38414634146341464,248,0.8875502008032129
5.0,0.0,664,664.0,1.0,219,0.7710843373493976
6.0,0.0,234,234.0,0.3445121951219512,121,0.37751004016064255
7.0,0.0,32,32.0,0.036585365853658534,34,0.028112449799196786
8.0,0.0,16,16.0,0.012195121951219513,108,0.3253012048192771
9.0,0.0,8,8.0,0.0,73,0.18473895582329317
10.0,130.0,17,147.0,0.21189024390243902,128,0.40562248995983935
11.0,80.0,25,105.0,0.14786585365853658,133,0.42570281124497994
12.0,64.0,28,92.0,0.12804878048780488,276,1.0
13.0,89.0,116,205.0,0.3003048780487805,179,0.6104417670682731
14.0,137.0,63,200.0,0.2926829268292683,140,0.4538152610441767
15.0,87.0,33,120.0,0.17073170731707318,159,0.5301204819277109
16.0,171.0,14,185.0,0.2698170731707317,67,0.1606425702811245
17.0,89.0,1,90.0,0.125,78,0.20481927710843373
18.0,170.0,41,211.0,0.3094512195121951,223,0.7871485943775101
19.0,58.0,11,69.0,0.09298780487804878,218,0.7670682730923695
20.0,128.0,15,143.0,0.20579268292682926,173,0.5863453815261044
