arrdt,plaques,archeo,heritage_total,richesse_historique,activity_events,activity_norm,movie_shootings,movie_shootings_norm
1.0,0.0,135,135.0,0.1935975609756097,246,0.8795180722891566,581,0.5601719197707736
2.0,0.0,25,25.0,0.0259146341463414,27,0.0,241,0.07306590257879657
3.0,0.0,73,73.0,0.0990853658536585,91,0.2570281124497992,190,0.0
4.0,0.0,260,260.0,0.3841463414634146,248,0.8875502008032129,571,0.5458452722063037
5.0,0.0,664,664.0,1.0,219,0.7710843373493976,494,0.4355300859598854
6.0,0.0,234,234.0,0.3445121951219512,121,0.3775100401606425,372,0.2607449856733524
7.0,0.0,32,32.0,0.0365853658536585,34,0.0281124497991967,522,0.47564469914040114
8.0,0.0,16,16.0,0.0121951219512195,108,0.3253012048192771,643,0.6489971346704871
9.0,0.0,8,8.0,0.0,73,0.1847389558232931,489,0.4283667621776504
10.0,130.0,17,147.0,0.211890243902439,128,0.4056224899598393,589,0.5716332378223495
11.0,80.0,25,105.0,0.1478658536585365,133,0.4257028112449799,526,0.4813753581661891
12.0,64.0,28,92.0,0.1280487804878048,276,1.0,463,0.39111747851002865
13.0,89.0,116,205.0,0.3003048780487805,179,0.6104417670682731,521,0.47421203438395415
14.0,137.0,63,200.0,0.2926829268292683,140,0.4538152610441767,275,0.12177650429799428
15.0,87.0,33,120.0,0.1707317073170731,159,0.5301204819277109,298,0.15472779369627507
16.0,171.0,14,185.0,0.2698170731707317,67,0.1606425702811245,888,1.0
17.0,89.0,1,90.0,0.125,78,0.2048192771084337,328,0.1977077363896848
18.0,170.0,41,211.0,0.3094512195121951,223,0.7871485943775101,859,0.9584527220630372
19.0,58.0,11,69.0,0.0929878048780487,218,0.7670682730923695,594,0.5787965616045845
20.0,128.0,15,143.0,0.2057926829268292,173,0.5863453815261044,547,0.5114613180515759
